location,technology,capacity,units
AUS,Gas,4500.0,18
AUS,WindOn,18900.0,189
BEL,Gas,9250.0,37
BEL,WindOn,1500.0,15
BLK,Nuclear,33000.0,33
BLT,Gas,3000.0,12
BLT,WindOff,300.0,3
BLT,WindOn,3900.0,39
CZE,Nuclear,9000.0,9
DEN,Gas,7500.0,30
DEN,WindOn,10500.0,105
FIN,Gas,500.0,2
FIN,Nuclear,5000.0,5
FIN,WindOn,11600.0,116
FRA,Nuclear,64000.0,64
GER,Gas,50750.0,203
GER,WindOff,20300.0,203
GER,WindOn,44800.0,448
IRE,Gas,2000.0,8
IRE,WindOn,7400.0,74
ITA,Gas,19250.0,77
ITA,SunPV,31150.0,623
ITA,WindOn,39000.0,390
NED,SunPV,42700.0,854
NED,WindOff,34900.0,349
NED,WindOn,117300.0,1173
NOR,SunPV,33750.0,675
NOR,WindOff,38600.0,386
NOR,WindOn,228200.0,2282
POL,Gas,10750.0,43
POL,WindOn,29200.0,292
POR,Gas,2500.0,10
POR,SunPV,1000.0,20
POR,WindOn,1800.0,18
SKO,Nuclear,3000.0,3
SPA,Nuclear,30000.0,30
SWE,Gas,2000.0,8
SWE,Nuclear,11000.0,11
SWE,WindOn,3300.0,33
SWI,Nuclear,16000.0,16
UKI,Gas,500.0,2
UKI,Nuclear,44000.0,44
