location,technology,capacity,units
AUS,Gas,5750.0,23
AUS,WindOn,19100.0,191
BEL,Gas,7250.0,29
BEL,WindOn,1500.0,15
BLK,Nuclear,33000.0,33
BLT,Gas,2500.0,10
BLT,WindOff,300.0,3
BLT,WindOn,3800.0,38
CZE,Nuclear,9000.0,9
DEN,Gas,7500.0,30
DEN,WindOn,10500.0,105
FIN,Gas,1000.0,4
FIN,Nuclear,5000.0,5
FIN,WindOn,11600.0,116
FRA,Nuclear,64000.0,64
GER,Gas,48500.0,194
GER,WindOff,20200.0,202
GER,WindOn,45200.0,452
IRE,Gas,2000.0,8
IRE,WindOn,7600.0,76
ITA,Gas,19250.0,77
ITA,SunPV,31200.0,624
ITA,WindOn,39200.0,392
NED,SunPV,42700.0,854
NED,WindOff,34800.0,348
NED,WindOn,118300.0,1183
NOR,SunPV,33700.0,674
NOR,WindOff,38600.0,386
NOR,WindOn,228400.0,2284
POL,Gas,11000.0,44
POL,WindOn,29300.0,293
POR,Gas,2500.0,10
POR,SunPV,1000.0,20
POR,WindOn,1900.0,19
SKO,Nuclear,3000.0,3
SPA,Gas,250.0,1
SPA,Nuclear,30000.0,30
SWE,Gas,1750.0,7
SWE,Nuclear,12000.0,12
SWE,WindOn,2500.0,25
SWI,Nuclear,16000.0,16
UKI,Gas,3750.0,15
UKI,Nuclear,44000.0,44
