location,technology,capacity,units
AUS,WindOn,14400.0,144
BEL,WindOn,22600.0,226
BLK,Nuclear,13000.0,13
BLK,WindOn,50300.00000000002,503
BLT,WindOn,6500.000000000038,65
CZE,Nuclear,8000.000000000004,8
FIN,WindOn,22800.0,228
FRA,Nuclear,53000.0,53
GER,Gas,42500.0,170
GER,WindOn,85000.0,850
IRE,WindOn,12300.0,123
ITA,Gas,7000.0,28
ITA,SunPV,8050.0,161
ITA,WindOff,31900.0,319
ITA,WindOn,2400.0,24
NED,WindOff,29900.0,299
NOR,WindOn,83700.0,837
POL,Gas,6250.0,25
POL,WindOn,37499.9999999996,375
POR,Gas,499.9999999999822,2
POR,WindOn,1800.0,18
SKO,Nuclear,2999.9999999999955,3
SPA,Nuclear,28000.0,28
SWE,Nuclear,11000.0,11
SWE,WindOn,11700.0,117
SWI,Nuclear,19000.0,19
UKI,Nuclear,37000.0,37
UKI,WindOn,22200.0,222
