location,technology,capacity,units
AUS,WindOn,30500.0,305
BEL,Gas,500.0,2
BEL,WindOn,12900.0,129
BLK,Nuclear,32000.0,32
BLT,Gas,500.0,2
BLT,WindOn,4600.0,46
CZE,Nuclear,9000.0,9
DEN,WindOn,14400.0,144
FIN,Nuclear,2000.0,2
FIN,WindOn,17600.0,176
FRA,Nuclear,60000.0,60
GER,Gas,48000.0,192
GER,WindOff,26600.0,266
GER,WindOn,32300.0,323
IRE,WindOn,10800.0,108
ITA,Gas,12000.0,48
ITA,SunPV,12200.0,244
ITA,WindOn,58900.0,589
NED,SunPV,1000.0,20
NED,WindOff,35400.0,354
NOR,WindOn,132200.0,1322
POL,Gas,7000.0,28
POL,WindOn,32100.0,321
POR,Gas,1000.0,4
POR,SunPV,250.0,5
POR,WindOn,2200.0,22
SKO,Nuclear,3000.0,3
SPA,Nuclear,29000.0,29
SWE,Nuclear,10000.0,10
SWE,WindOn,200.0,2
SWI,Nuclear,16000.0,16
UKI,Nuclear,42000.0,42
