location,technology,capacity,units
AUS,Gas,5750.0,23
AUS,WindOn,22200.0,222
BEL,Gas,7000.0,28
BEL,WindOn,1800.0,18
BLK,Gas,250.0,1
BLK,Nuclear,33000.0,33
BLT,Gas,4000.0,16
BLT,WindOn,4500.0,45
CZE,Nuclear,9000.0,9
DEN,Gas,4750.0,19
DEN,WindOn,14100.0,141
FIN,Gas,3250.0,13
FIN,Nuclear,3000.0,3
FIN,WindOn,12500.0,125
FRA,Nuclear,61000.0,61
GER,Gas,45250.0,181
GER,WindOff,17500.0,175
GER,WindOn,45400.0,454
IRE,Gas,2500.0,10
IRE,WindOn,8900.0,89
ITA,Gas,19250.0,77
ITA,SunPV,28400.0,568
ITA,WindOn,45500.0,455
NED,SunPV,20650.0,413
NED,WindOff,35300.0,353
NED,WindOn,67500.0,675
NOR,WindOff,46900.0,469
NOR,WindOn,64000.0,640
POL,Gas,11500.0,46
POL,WindOn,32700.0,327
POR,Gas,1500.0,6
POR,SunPV,450.0,9
POR,WindOn,4500.0,45
SKO,Gas,250.0,1
SKO,Nuclear,3000.0,3
SPA,Nuclear,30000.0,30
SWE,Gas,2750.0,11
SWE,Nuclear,13000.0,13
SWI,Nuclear,16000.0,16
UKI,Gas,2250.0,9
UKI,Nuclear,43000.0,43
