location,technology,capacity,units
AUS,Gas,9000.0,36
AUS,WindOn,15300.0,153
BEL,Gas,7750.0,31
BEL,WindOn,2500.0,25
BLK,Nuclear,34000.0,34
BLT,Gas,1750.0,7
BLT,Oil,100.0,1
BLT,WindOn,4000.0,40
CZE,Nuclear,10000.0,10
DEN,Gas,6000.0,24
DEN,WindOn,6000.0,60
FIN,Nuclear,11000.0,11
FRA,Gas,2750.0,11
FRA,Nuclear,74000.0,74
GER,Gas,35000.0,140
GER,WindOn,78700.0,787
IRE,Gas,3500.0,14
IRE,WindOn,7800.0,78
ITA,Gas,19000.0,76
ITA,SunPV,5700.0,114
ITA,WindOn,50300.0,503
NED,SunPV,52200.0,1044
NED,WindOff,51100.0,511
NED,WindOn,3300.0,33
NOR,WindOn,138600.0,1386
POL,Gas,10000.0,40
POL,WindOff,12800.0,128
POL,WindOn,14500.0,145
POR,Gas,3500.0,14
POR,SunPV,2250.0,45
POR,WindOn,8900.0,89
SKO,Gas,750.0,3
SKO,Nuclear,4000.0,4
SPA,Gas,4500.0,18
SPA,Nuclear,28000.0,28
SWE,Nuclear,15000.0,15
SWI,Nuclear,16000.0,16
UKI,Gas,5250.0,21
UKI,Nuclear,29000.0,29
UKI,WindOn,30600.0,306
