location,technology,capacity,units
AUS,SunPV,50.0,1
AUS,WindOn,24600.0,246
BEL,Gas,6500.0,26
BLK,Nuclear,30000.0,30
BLK,WindOn,2200.0,22
BLT,Gas,500.0,2
BLT,Oil,100.0,1
BLT,WindOn,5500.0,55
CZE,Nuclear,8000.0,8
DEN,Gas,6250.0,25
DEN,WindOn,9600.0,96
FIN,Gas,1500.0,6
FIN,Nuclear,4000.0,4
FIN,WindOn,9600.0,96
FRA,Nuclear,64000.0,64
GER,Gas,45500.0,182
GER,WindOff,11200.0,112
GER,WindOn,51100.0,511
IRE,Gas,1500.0,6
IRE,WindOff,1200.0,12
IRE,WindOn,5500.0,55
ITA,Gas,19500.0,78
ITA,SunPV,24600.0,492
ITA,WindOff,12200.0,122
ITA,WindOn,14700.0,147
NED,SunPV,56000.0,1120
NED,WindOff,6900.0,69
NED,WindOn,191000.0,1910
NOR,SunPV,46200.0,924
NOR,WindOn,236100.0,2361
POL,Gas,9500.0,38
POL,SunPV,250.0,5
POL,WindOn,25600.0,256
POR,Gas,1500.0,6
POR,SunPV,2700.0,54
POR,WindOn,1000.0,10
SKO,Nuclear,3000.0,3
SPA,Nuclear,31000.0,31
SWE,Gas,1500.0,6
SWE,Nuclear,7000.0,7
SWE,WindOn,6500.0,65
SWI,Nuclear,15000.0,15
UKI,Nuclear,43000.0,43
